"Coach" "start_year"
"1949" "jerry-loyd-1" 1990
"3347" "bob-wenzel-1" 1982
"2668" "bob-reinhart-1" 1986
"3197" "terry-truax-1" 1984
"3207" "mk-turk-1" 1977
"1082" "karl-fogel-1" 1987
"2473" "bobby-paschal-1" 1979
"912" "jarrett-durham-1" 1985
"1749" "frank-kerns-1" 1982
"3479" "joby-wright-1" 1991
"180" "butch-beard-1" 1991
"1971" "nick-macarchuk-1" 1978
"1878" "billy-lee-1" 1986
"221" "russ-bergman-1" 1975
"2918" "john-shumate-1" 1989
"3031" "steve-steinwedel-1" 1986
"3218" "ralph-underhill-1" 1988
"266" "george-blaney-1" 1970
"2484" "eddie-payne-1" 1992
"38" "frankie-allen-1" 1988
"3470" "jim-wooldridge-1" 1992
"135" "kevin-bannon-1" 1990
"1570" "larry-hunter-1" 1990
"2193" "jeff-meyer-1" 1989
"1057" "dan-fitzgerald-3" 1979
"937" "scott-edgar-1" 1992
"2264" "robert-moreland-1" 1978
"1444" "rich-herrin-1" 1986
"1048" "ted-fiore-1" 1987
"2304" "jeff-mullins-1" 1986
"3146" "roy-thomas-2" 1995
"3147" "roy-thomas-2" 1910
"913" "mick-durham-1" 1991
"1530" "phil-hopkins-1" 1996
"399" "jack-bruen-1" 1990
"3254" "mike-vining-1" 1982
"547" "rob-chavez-1" 1993
"1420" "mike-heideman-1" 1996
"2281" "stan-morrison-1" 1973
"3069" "lafayette-stribling-1" 1984
"97" "tom-asbury-1" 1989
"1333" "brian-hammel-1" 1992
"3107" "wayne-szoke-1" 1985
"2243" "jim-molinari-1" 1990
"2323" "bill-musselman-1" 1972
"641" "tom-conrad-1" 1997
"2215" "mike-miller-3" 1995
"1391" "ray-haskins-1" 1996
"660" "paul-cormier-1" 1985
"2046" "philip-mathews-1" 1996
"3345" "bob-weltlich-1" 1977
"362" "rickey-broussard-1" 1991
"1072" "bruiser-flint-1" 1997
"316" "ron-bradley-1" 1992
"2549" "elwood-plummer-1" 1991
"144" "milton-barnes-1" 1997
"2386" "dickey-nutt-1" 1996
"2522" "jim-phelan-1" 1989
"581" "mickey-clayton-1" 1996
"17" "mike-adras-1" 2000
"1158" "gary-garner-1" 1982
"3057" "andy-stoglin-1" 1983
"177" "bill-bayno-1" 1996
"2513" "buzz-peterson-1" 1997
"3174" "jimmy-tillette-1" 1998
"151" "jim-baron-1" 1988
"2402" "fran-ohanlon-1" 1996
"611" "barry-collier-1" 1990
"2986" "brad-soderberg-1" 2001
"2808" "rick-samuels-1" 1980
"991" "bill-evans-1" 1992
"3288" "riley-wallace-1" 1977
"3463" "dennis-wolff-1" 1995
"1257" "sidney-green-1" 2000
"1517" "don-holst-1" 1999
"3356" "paul-westphal-1" 2002
"2589" "tic-price-1" 1995
"1848" "rob-lanier-1" 2002
"1871" "dale-layer-1" 2001
"1987" "don-maestri-1" 1994
"1507" "brad-holland-1" 1993
"3379" "dereck-whittenburg-1" 2000
"688" "joe-cravens-1" 1990
"1571" "ron-hunter-1" 1999
"2790" "kerry-rupp-1" 2004
"617" "jimmy-collins-1" 1997
"3344" "tim-welsh-1" 1996
"1195" "mike-gillespie-1" 2002
"999" "jessie-evans-1" 1998
"1398" "steve-hawkins-1" 2004
"587" "steve-cleveland-1" 1998
"514" "tim-carter-1" 1996
"907" "randy-dunton-1" 1998
"2869" "joe-scott-2" 2001
"2996" "kirk-speraw-1" 1994
"2416" "tim-oshea-1" 2002
"2133" "ritchie-mckay-1" 1999
"1258" "tom-green-1" 1984
"2801" "doc-sadler-1" 2005
"1600" "greg-jackson-1" 2001
"1881" "robert-lee-1" 2005
"449" "jeff-bzdelik-1" 1987
"460" "dave-calloway-1" 1998
"2786" "jeff-ruland-1" 1999
"3000" "rob-spivery-1" 1997
"2624" "randy-rahe-1" 2007
"2201" "joe-mihalich-1" 1999
"2209" "glen-miller-1" 2000
"2677" "larry-reynolds-1" 1996
"813" "howie-dickenman-1" 1997
"71" "tevester-anderson-1" 1999
"3138" "reggie-theus-1" 2006
"2352" "jeff-neubauer-1" 2006
"1026" "dennis-felton-1" 1999
"764" "keno-davis-1" 2008
"1255" "james-green-1" 1997
"1939" "dave-loos-1" 1991
"3092" "scott-sutton-1" 2000
"704" "scott-cross-1" 2007
